zip:varchar:5	lat:decimal:10,6	long:decimal:10,6	city:varchar:25	stateshort:varchar:2	state:varchar:20	county:varchar:21
00210	43.009222	-70.950742	Portsmouth	NH	New Hampshire	Rockingham
00501	40.922326	-72.637078	Holtsville	NY	New York	Suffolk
01001	42.140549	-72.788661	Agawam	MA	Massachusetts	Hampden
01002	42.367092	-72.464571	Amherst	MA	Massachusetts	Hampshire
01005	42.329160	-72.139465	Barre	MA	Massachusetts	Worcester
01007	42.280267	-72.402056	Belchertown	MA	Massachusetts	Hampshire
01008	42.177833	-72.958359	Blandford	MA	Massachusetts	Hampden
01010	42.108585	-72.204480	Brimfield	MA	Massachusetts	Hampden
01011	42.294259	-72.952776	Chester	MA	Massachusetts	Hampden
01012	42.392274	-72.825607	Chesterfield	MA	Massachusetts	Hampshire
01013	42.161492	-72.667341	Chicopee	MA	Massachusetts	Hampden
01026	42.428617	-72.909841	Cummington	MA	Massachusetts	Hampshire
01027	42.368303	-72.768839	Easthampton	MA	Massachusetts	Hampshire
01028	42.062009	-72.498740	East Longmeadow	MA	Massachusetts	Hampden
01030	42.189335	-72.797740	Feeding Hills	MA	Massachusetts	Hampden
01031	42.352554	-72.205724	Gilbertville	MA	Massachusetts	Worcester
01032	42.443837	-72.819446	Goshen	MA	Massachusetts	Hampshire
01033	42.262285	-72.504086	Granby	MA	Massachusetts	Hampshire
01034	42.112748	-72.952003	Granville	MA	Massachusetts	Hampden
01035	42.356804	-72.576613	Hadley	MA	Massachusetts	Hampshire
01036	42.067614	-72.417507	Hampden	MA	Massachusetts	Hampden
01037	42.347856	-72.225251	Hardwick	MA	Massachusetts	Worcester
01038	42.387269	-72.643081	Hatfield	MA	Massachusetts	Hampshire
01040	42.198291	-72.642070	Holyoke	MA	Massachusetts	Hampden
01050	42.313427	-72.903677	Huntington	MA	Massachusetts	Hampshire
01054	42.474681	-72.467543	Leverett	MA	Massachusetts	Franklin
01056	42.173276	-72.627038	Ludlow	MA	Massachusetts	Hampden
01057	42.095323	-72.282063	Monson	MA	Massachusetts	Hampden
01059	42.369562	-72.635990	North Amherst	MA	Massachusetts	Hampshire
01060	42.415154	-72.769270	Northampton	MA	Massachusetts	Hampshire
01062	42.328838	-72.845227	Florence	MA	Massachusetts	Hampshire
01068	42.346144	-72.058847	Oakham	MA	Massachusetts	Worcester
01069	42.176131	-72.314570	Palmer	MA	Massachusetts	Hampden
01070	42.448984	-72.958397	Plainfield	MA	Massachusetts	Hampshire
01071	42.177432	-72.864558	Russell	MA	Massachusetts	Hampden
01073	42.230008	-72.728463	Southampton	MA	Massachusetts	Hampshire
01075	42.249840	-72.581520	South Hadley	MA	Massachusetts	Hampshire
01077	42.066644	-72.541205	Southwick	MA	Massachusetts	Hampden
01081	42.061948	-72.213598	Wales	MA	Massachusetts	Hampden
01082	42.377471	-72.548549	Ware	MA	Massachusetts	Hampshire
01083	42.204027	-72.199439	Warren	MA	Massachusetts	Worcester
01085	42.148690	-72.501887	Westfield	MA	Massachusetts	Hampden
01089	42.125793	-72.645334	West Springfield	MA	Massachusetts	Hampden
01092	42.202887	-72.229025	West Warren	MA	Massachusetts	Worcester
01093	42.442673	-72.652511	Whately	MA	Massachusetts	Franklin
01095	42.125974	-72.489988	Wilbraham	MA	Massachusetts	Hampden
01096	42.413069	-72.821653	Williamsburg	MA	Massachusetts	Hampshire
01098	42.404940	-72.896133	Worthington	MA	Massachusetts	Hampshire
01101	42.170731	-72.604842	Springfield	MA	Massachusetts	Hampden
01106	42.049194	-72.567882	Longmeadow	MA	Massachusetts	Hampden
01151	42.150593	-72.512780	Indian Orchard	MA	Massachusetts	Hampden
01201	42.479475	-73.248070	Pittsfield	MA	Massachusetts	Berkshire
01220	42.385595	-73.172166	Adams	MA	Massachusetts	Berkshire
